nombre_original,nombre_google,direccion,municipio,estado,lat,lng,place_id
COBAY KANASIN,COBAY plantel Kanasin,"Calle 14 S/N x 33, Cuauhtémoc II, 97370 Kanasín, Yuc., Mexico",,Yucatán,20.9360912,-89.5732575,ChIJpf5-oURwVo8RE5JmGAGEQhA
COBAY KIMBILA,COBAY de Kimbilá,"Calle 24, Kimbilá, 97550 Kimbilá, Yuc., Mexico",,Yucatán,20.9411288,-89.1244919,ChIJ9-QwwlCYVo8ROTZ4OxQYvxg
COBAY KINCHIL,COBAY Kinchil,"calle 18, Kinchil - Tetiz, 97360 Yuc., Mexico",,Yucatán,20.9417168,-89.9392204,ChIJD8lmx0UDVo8RZHtYPxDHvLI
COLEGIO DE BACHILLERES DE YUCATAN,Colegio de Bachilleres del Estado de Yucatán Plantel Tizimín,"Calle 48-B S/N por Calle 31, Centro, 97702 Tizimín, Yuc., Mexico",,Yucatán,21.1565151,-88.1455902,ChIJr1WVbGsrUo8RPMfU3WJE-vA
COBAY CHICXULUB PUEBLO,COBAY,"97340 Chicxulub, Yucatan, Mexico",,Yucatán,21.1404492,-89.5100272,ChIJL9mDgP_WVY8RnceKt7J4oWw
COBAY SANTA ROSA,COBAY plantel Santa Rosa,"Av. 1o. de Mayo x 107 y 109, Santa Rosa, 97279 Mérida, Yuc., Mexico",,Yucatán,20.9403774,-89.6127855,ChIJ3UmgRppxVo8RzhNh9D6cWUk
COBAY TEKIT,COBAY Tekit,"97680 Tekit, Yuc., Mexico",,Yucatán,20.5409686,-89.3444007,ChIJ3Ye24Fb3Vo8R9SYn6iBsnWY
COBAY TECOH,COBAY Tecoh,"Tecoh Municipality, 97820 Tecoh, Yucatan, Mexico",,Yucatán,20.729791,-89.4756395,ChIJCa1PFoNnVo8Rd8cCQgKfflE
COBAY TICUL,Escuela Preparatoria Cobay,"C. 41 187, Centro, 97860 Ticul, Yuc., Mexico",,Yucatán,20.3830993,-89.52936849999999,ChIJSb6QcV5SVo8R3oAJw2hp0N8
COBAY UMAN,Colegio de Bachilleres Plantel 2,"C. 10-A 104, Los Arcos, Umán, 97390 Umán, Yuc., Mexico",,Yucatán,20.8871312,-89.73847839999999,ChIJoUaW0mcSVo8RuBpbGqBsWII
